vertices;arcprob;maxcapacity;dimic_capacity;dimic_time;capacity_mpm;mpm_time;ek_capacity;ek_time
100;10;5;7;3.4606e-05;7;0.000127908;7;4.7858e-05
100;10;10;26;3.1472e-05;26;0.000101894;26;3.307e-05
100;10;20;34;3.2585e-05;34;0.000233339;34;0.000155632
100;10;40;110;4.2566e-05;110;0.000164955;110;6.6437e-05
100;10;80;126;5.1733e-05;126;0.000168357;126;7.9532e-05
100;10;160;401;4.9609e-05;401;0.000232677;401;6.376e-05
100;10;320;422;3.5155e-05;422;0.000140879;422;5.1141e-05
100;20;5;41;8.0585e-05;41;0.000217935;41;0.00012878
100;20;10;72;0.000217556;72;0.00026164;72;0.000298011
100;20;20;155;0.000142157;155;0.000388731;155;0.000366301
100;20;40;284;0.000129163;284;0.000482811;284;0.000506684
100;20;80;614;0.000141396;614;0.000340029;614;0.000344733
100;20;160;784;6.3709e-05;784;0.000252072;784;0.000171654
100;20;320;2512;0.000217275;2512;0.000569985;2512;0.000454238
100;40;5;82;8.1941e-05;82;0.000162807;82;0.000314427
100;40;10;215;0.00025053;215;0.000553927;215;0.00111579
100;40;20;328;0.000160001;328;0.000492443;328;0.000812151
100;40;40;595;0.00014356;595;0.000363557;595;0.000963365
100;40;80;1794;0.000333515;1794;0.000939513;1794;0.00177293
100;40;160;2586;0.000189484;2586;0.000778736;2586;0.00101056
100;40;320;5753;0.000267833;5753;0.00066126;5753;0.00178081
100;80;5;184;0.000170272;184;0.000666832;184;0.00243804
100;80;10;379;0.000197294;379;0.000776555;379;0.00362355
100;80;20;765;0.000343721;765;0.000673974;765;0.00433746
100;80;40;1627;0.000246835;1627;0.000866171;1627;0.0067282
100;80;80;2985;0.000288432;2985;0.000834096;2985;0.00420046
100;80;160;5966;0.0016055;5966;0.000985661;5966;0.00630763
100;80;320;11732;0.000371748;11732;0.00109985;11732;0.00437055
200;10;5;58;0.000142732;58;0.00064002;58;0.000444647
200;10;10;56;0.00039853;56;0.000712762;56;0.000891757
200;10;20;119;0.000219645;119;0.0011298;119;0.000320822
200;10;40;313;0.000432884;313;0.00133799;313;0.00125253
200;10;80;612;0.000190636;612;0.000713779;612;0.000817631
200;10;160;446;0.00016104;446;0.000662927;446;0.000512199
200;10;320;1090;0.000316224;1090;0.00130663;1090;0.000850793
200;20;5;114;0.000461022;114;0.00126595;114;0.00169502
200;20;10;157;0.00037967;157;0.00140296;157;0.00283944
200;20;20;255;0.000337994;255;0.00098325;255;0.000732846
200;20;40;540;0.000608363;540;0.00168289;540;0.00326413
200;20;80;1461;0.000573879;1461;0.00188166;1461;0.00516126
200;20;160;1386;0.000310282;1386;0.000890228;1386;0.000754575
200;20;320;5512;0.0007065;5512;0.00242722;5512;0.0035635
200;40;5;208;0.00080022;208;0.00227234;208;0.00943265
200;40;10;432;0.00100991;432;0.00312721;432;0.0152141
200;40;20;703;0.00163704;703;0.00288179;703;0.0108467
200;40;40;1198;0.00108135;1198;0.00332459;1198;0.0126472
200;40;80;2921;0.00126086;2921;0.00443583;2921;0.0148849
200;40;160;5491;0.000733305;5491;0.00287138;5491;0.0106799
200;40;320;12245;0.00078649;12245;0.00243867;12245;0.00948687
200;80;5;469;0.00101204;469;0.0029137;469;0.0247138
200;80;10;873;0.00120952;873;0.00438104;873;0.0437035
200;80;20;1407;0.00101526;1407;0.0031361;1407;0.0427815
200;80;40;2995;0.000972675;2995;0.00331946;2995;0.0377675
200;80;80;6074;0.00108409;6074;0.00408633;6074;0.0467521
200;80;160;11836;0.000697426;11836;0.00334101;11836;0.0405422
200;80;320;22963;0.00135352;22963;0.00496558;22963;0.0379906
400;10;5;84;0.00135625;84;0.00522041;84;0.00713388
400;10;10;141;0.00154778;141;0.00661949;141;0.0121721
400;10;20;291;0.00162782;291;0.00627675;291;0.00622098
400;10;40;645;0.00114617;645;0.00368548;645;0.00679277
400;10;80;1271;0.00164016;1271;0.00787455;1271;0.009758
400;10;160;2541;0.00124857;2541;0.00384525;2541;0.0115605
400;10;320;4122;0.00136593;4122;0.00542382;4122;0.0131729
400;20;5;177;0.0023999;177;0.00745743;177;0.0229036
400;20;10;461;0.00343329;461;0.00927624;461;0.0377562
400;20;20;681;0.0044949;681;0.00715617;681;0.0228502
400;20;40;1341;0.00274729;1341;0.00996767;1341;0.0292606
400;20;80;2490;0.00160076;2490;0.0060849;2490;0.0160202
400;20;160;4810;0.00523276;4810;0.00944821;4810;0.0466174
400;20;320;10299;0.00187958;10299;0.00828039;10299;0.0175044
400;40;5;437;0.00695001;437;0.0156686;437;0.0734505
400;40;10;789;0.00510857;789;0.0172285;789;0.0519262
400;40;20;1518;0.00270621;1518;0.0150975;1518;0.0825726
400;40;40;3179;0.00638212;3179;0.0183356;3179;0.113103
400;40;80;5791;0.00269884;5791;0.0167009;5791;0.0654073
